1	When	when	Conj	WRB	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	5	k7t	_	_
6	almost	almost	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	11	k1	_	_
7	100	'	cd	CD	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-almost|chunkType-child|stype-|voicetype-	6	child	_	_
8	passengers	passenger	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-almost|chunkType-child|stype-|voicetype-	6	child	_	_
9	from	from	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	6	nmod	_	_
10	India	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-from|chunkType-child|stype-|voicetype-	9	child	_	_
11	arrive	arrive	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
12	here	here	P	RB	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	11	k7p	_	_
13	everyday	everyday	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-here|chunkType-child|stype-|voicetype-	12	child	_	_
14	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-here|chunkType-child|stype-|voicetype-	12	child	_	_

1	Indian	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	4	k1	_	_
2	Air	air	v	NNP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Indian|chunkType-child|stype-|voicetype-	1	child	_	_
3	Carriers	carrier	n	NNP	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-Indian|chunkType-child|stype-|voicetype-	1	child	_	_
4	have	have	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
5	started	start	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	4	child	_	_
6	talks	talk	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	4	k2	_	_
7	with	with	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	4	ras-k1	_	_
8	other	other	n	JJ	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	7	child	_	_
9	airlines	airline	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	7	child	_	_
10	to	to	v	TO	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	4	rt	_	_
11	prepare	prepare	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-to|chunkType-child|stype-|voicetype-	10	child	_	_
12	for	for	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	10	k2	_	_
13	any	any	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-for|chunkType-child|stype-|voicetype-	12	child	_	_
14	emeregency	'	jj	JJ	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-for|chunkType-child|stype-|voicetype-	12	child	_	_
15	situation	situation	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-for|chunkType-child|stype-|voicetype-	12	child	_	_
16	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-for|chunkType-child|stype-|voicetype-	12	child	_	_

1	Some	some	P	DT	cat-P|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	3	k1	_	_
2	people	people	v	NNS	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-Some|chunkType-child|stype-|voicetype-	1	child	_	_
3	have	have	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
4	started	start	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	3	child	_	_
5	canceling	cancel	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	3	child	_	_
6	their	he	det	PRP$	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	3	k2	_	_
7	advanced	advance	v	JJ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-their|chunkType-child|stype-|voicetype-	6	child	_	_
8	bookings	booking	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-their|chunkType-child|stype-|voicetype-	6	child	_	_
9	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-their|chunkType-child|stype-|voicetype-	6	child	_	_

1	The	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	3	k1	_	_
2	carriers	carrier	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
3	are	be	v	VBP	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
4	not	not	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-are|chunkType-child|stype-|voicetype-	3	child	_	_
5	charging	charge	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-are|chunkType-child|stype-|voicetype-	3	child	_	_
6	them	them	P	PRP	cat-P|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	3	k4	_	_
7	any	any	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	3	k2	_	_
8	cacellation	'	nn	NN	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-any|chunkType-child|stype-|voicetype-	7	child	_	_
9	fees	fee	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-any|chunkType-child|stype-|voicetype-	7	child	_	_
10	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-any|chunkType-child|stype-|voicetype-	7	child	_	_

1	However	however	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	5	sent-adv	_	_
2	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k1	_	_
3	airline	airline	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
4	companies	company	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
5	are	be	v	VBP	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
6	saying	say	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-are|chunkType-child|stype-|voicetype-	5	child	_	_
7	that	that	P	IN	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	5	ccof	_	_
8	there	there	P	EX	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	9	dummy	_	_
9	is	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	18	ccof	_	_
10	no	no	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	9	k1	_	_
11	panic	panic	v	NN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-no|chunkType-child|stype-|voicetype-	10	child	_	_
12	among	amongst	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	9	k7	_	_
13	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-among|chunkType-child|stype-|voicetype-	12	child	_	_
14	passengers	passenger	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-among|chunkType-child|stype-|voicetype-	12	child	_	_
15	over	over	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	9	k2	_	_
16	this	this	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-over|chunkType-child|stype-|voicetype-	15	child	_	_
17	announcement	announcement	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-over|chunkType-child|stype-|voicetype-	15	child	_	_
18	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP2|chunkType-head|stype-|voicetype-	7	ccof	_	_
19	they	he	P	PRP	cat-P|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP6|chunkType-head|stype-|voicetype-	20	k1	_	_
20	are	be	v	VBP	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	18	ccof	_	_
21	undertaking	undertake	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-are2|chunkType-child|stype-|voicetype-	20	child	_	_
22	advance	advance	v	NN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP7|chunkType-head|stype-|voicetype-	20	k2	_	_
23	bookings	booking	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-advance|chunkType-child|stype-|voicetype-	22	child	_	_
24	upto	'	jj	JJ	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP8|chunkType-head|stype-|voicetype-	20	k7t	_	_
25	July	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-upto|chunkType-child|stype-|voicetype-	24	child	_	_
26	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-upto|chunkType-child|stype-|voicetype-	24	child	_	_

1	When	when	Conj	WRB	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	5	k7t	_	_
2	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k4	_	_
3	Indian	'	jj	JJ	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
4	officials	official	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
5	were	be	v	VBD	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	25	k7t	_	_
6	asked	ask	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-were|chunkType-child|stype-|voicetype-	5	child	_	_
7	as	as	n	IN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	11	k2	_	_
8	to	to	v	TO	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	7	child	_	_
9	what	what	P	WP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	7	child	_	_
10	provisions	provision	v	PRP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	7	child	_	_
11	had	have	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	5	k2	_	_
12	been	be	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-had|chunkType-child|stype-|voicetype-	11	child	_	_
13	made	make	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-had|chunkType-child|stype-|voicetype-	11	child	_	_
14	for	for	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	11	k4	_	_
15	passengers	passenger	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-for|chunkType-child|stype-|voicetype-	14	child	_	_
16	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	11	k7	_	_
17	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	16	child	_	_
18	event	event	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	16	child	_	_
19	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP4|chunkType-head|stype-|voicetype-	16	r6	_	_
20	cancellation	cancellation	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	19	child	_	_
21	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP5|chunkType-head|stype-|voicetype-	19	r6	_	_
22	flights	flight	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of2|chunkType-child|stype-|voicetype-	21	child	_	_
23	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-of2|chunkType-child|stype-|voicetype-	21	child	_	_
24	they	he	P	PRP	cat-P|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP6|chunkType-head|stype-|voicetype-	25	k1	_	_
25	said	say	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	0	root	_	_
26	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-said|chunkType-child|stype-|voicetype-	25	child	_	_
27	if	if	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	35	vmod	_	_
28	something	something	P	NN	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP7|chunkType-head|stype-|voicetype-	32	k1	_	_
29	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP6|chunkType-head|stype-|voicetype-	28	r6	_	_
30	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of3|chunkType-child|stype-|voicetype-	29	child	_	_
31	sort	sort	v	NN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of3|chunkType-child|stype-|voicetype-	29	child	_	_
32	happens	happen	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG4|chunkType-head|stype-|voicetype-	27	ccof	_	_
33	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP9|chunkType-head|stype-|voicetype-	35	k1	_	_
34	airlines	airline	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-the4|chunkType-child|stype-|voicetype-	33	child	_	_
35	would	would	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG5|chunkType-head|stype-|voicetype-	25	k2	_	_
36	inform	inform	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-would|chunkType-child|stype-|voicetype-	35	child	_	_
37	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP10|chunkType-head|stype-|voicetype-	35	k4	_	_
38	passengers	passenger	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-the5|chunkType-child|stype-|voicetype-	37	child	_	_
39	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP7|chunkType-head|stype-|voicetype-	35	k7t	_	_
40	advance	advance	v	NN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in2|chunkType-child|stype-|voicetype-	39	child	_	_
41	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-in2|chunkType-child|stype-|voicetype-	39	child	_	_

1	A	a	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	8	nmod	_	_
2	50	'	cd	CD	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-A|chunkType-child|stype-|voicetype-	1	child	_	_
3	percent	percent	n	NN	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-A|chunkType-child|stype-|voicetype-	1	child	_	_
4	increase	increase	v	NN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-A|chunkType-child|stype-|voicetype-	1	child	_	_
5	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	1	nmod	_	_
6	its	it	P	PRP$	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	5	child	_	_
7	flights	flight	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	5	child	_	_
8	was	be	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
9	suggested	suggest	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-was|chunkType-child|stype-|voicetype-	8	child	_	_
10	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-was|chunkType-child|stype-|voicetype-	8	child	_	_

1	But	but	D	CC	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	0	root	_	_
2	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k1	_	_
3	Indian	'	jj	JJ	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
4	government	government	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
5	refused	refuse	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	1	ccof	_	_
6	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-refused|chunkType-child|stype-|voicetype-	5	child	_	_

1	If	if	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	12	vmod	_	_
2	Jazeera	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	4	k4	_	_
3	Airways	airway	n	NNPS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-Jazeera|chunkType-child|stype-|voicetype-	2	child	_	_
4	had	have	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	1	ccof	_	_
5	been	be	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-had|chunkType-child|stype-|voicetype-	4	child	_	_
6	permitted	permit	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-had|chunkType-child|stype-|voicetype-	4	child	_	_
7	these	these	n	DT	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	4	k2	_	_
8	extra	extra	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-these|chunkType-child|stype-|voicetype-	7	child	_	_
9	flights	flight	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-these|chunkType-child|stype-|voicetype-	7	child	_	_
10	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-these|chunkType-child|stype-|voicetype-	7	child	_	_
11	it	it	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	12	k1	_	_
12	could	could	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	0	root	_	_
13	have	have	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-could|chunkType-child|stype-|voicetype-	12	child	_	_
14	affected	affect	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-could|chunkType-child|stype-|voicetype-	12	child	_	_
15	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	12	r6	_	_
16	business	business	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	15	child	_	_
17	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	15	r6	_	_
18	Air	air	v	NNP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	17	child	_	_
19	india	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	17	child	_	_
20	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	17	child	_	_
21	Indian	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	17	child	_	_
22	Airlines	airline	n	NNPS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	17	child	_	_
23	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	17	child	_	_

1	Because	because	Conj	IN	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	7	rh	_	_
2	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Because|chunkType-child|stype-|voicetype-	1	child	_	_
3	which	which	Comp	WDT	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Because|chunkType-child|stype-|voicetype-	1	child	_	_
4	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-Because|chunkType-child|stype-|voicetype-	1	child	_	_
5	most	some	P	JJS	cat-P|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	7	k1	_	_
6	people	people	v	NNS	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-most|chunkType-child|stype-|voicetype-	5	child	_	_
7	prefer	prefer	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
8	these	these	n	DT	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	7	k2	_	_
9	flights	flight	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-these|chunkType-child|stype-|voicetype-	8	child	_	_
10	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-these|chunkType-child|stype-|voicetype-	8	child	_	_

1	It	it	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	2	k1	_	_
2	should	should	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
3	be	be	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-should|chunkType-child|stype-|voicetype-	2	child	_	_
4	mentioned	mention	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-should|chunkType-child|stype-|voicetype-	2	child	_	_
5	that	that	P	IN	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	2	k1s	_	_
6	as	as	n	IN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	12	k7t	_	_
7	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	6	child	_	_
8	now	now	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	6	child	_	_
9	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	6	child	_	_
10	Air	air	v	NNP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	12	k1	_	_
11	India	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Air|chunkType-child|stype-|voicetype-	10	child	_	_
12	runs	run	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	21	ccof	_	_
13	four	four	det	CD	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	12	k2	_	_
14	weekly	weekly	D	JJ	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-four|chunkType-child|stype-|voicetype-	13	child	_	_
15	flights	flight	v	NNS	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-four|chunkType-child|stype-|voicetype-	13	child	_	_
16	to	to	v	TO	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	12	k7p	_	_
17	Kuwait	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-to|chunkType-child|stype-|voicetype-	16	child	_	_
18	from	from	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	12	k5	_	_
19	Mumbai	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-from|chunkType-child|stype-|voicetype-	18	child	_	_
20	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-from|chunkType-child|stype-|voicetype-	18	child	_	_
